Name,Address,Website
Adikavi Nannaya University,"25-07-9/1,  Jayakrishnapuram Rajahmundry    Andhra Pradesh-  ",http://www.nannayauniversity.info/
Alagappa University,Alagappapuram  Karaikudi Sivaganga District    Tamil Nadu - 630003 ,http://alagappauniversity.ac.in/
Aliah University,IIA/27   New Town   Kolkata   West Bengal - 700160 ,http://www.aliah.ac.in
Anand Agricultural University,Anand     Gujarat -  ,http://www.aau.in
Dr. N.T.R. University of Health Sciences,Vijayawada     Andhra Pradesh-  ,http://www.ntruhs.ap.nic.in
Andhra University,Visakhapatnam     Andhra Pradesh-  ,http://www.andhrauniversity.info/
Anna University,Sardar Patel Road Guindy Chennai   Tamil Nadu -  ,http://www.annauniv.edu
Annamalai University,Annamalainagar     Tamil Nadu - 608 002 ,http://www.annamalaiuniversity.ac.in
Assam Agricultural University,Jorhat - 785 013. (ASSAM)     Assam -  ,http://www.aau.ac.in
Awadesh Pratap Singh University,Rewa - 486 003.     Madhya Pradesh -  ,http://www.apsurewa.nic.in
Baba Farid University of Health Sciences,Sadiq Road Faridkot-151 203 Panjab   Punjab -  ,http://www.bfuhs.ac.in
Baba Ghulam Shah Badshah University,"Rajouri Camp Office  Bye Pass- Road,Chinnai Himmat  Jammu    Jammu and Kashmir -  ",http://www.bgsbuniversity.org
Babasaheb Bhimrao Ambedkar Bihar University ,Muzzaffarpur - 842 001. Bihar    Bihar -  ,http://www.brabu.net/
Bangalore University,Jnana Bharathi   Bangalore    Karnataka - 560056 ,www.bangaloreuniversity.ac.in 
Barkatullaah University,Hoshangabad Road  Bhopal - 462 026.     Madhya Pradesh -  ,http://www.bubhopal.nic.in
Bastar Vishwavidyalaya ,Jagdalpur  Dist.: Bastar Chhattisgarh -494005    Chhattisgarh-  ,http://www.bvvjdp.ac.in
Berhampur University,Berhampur  Bhanja Bihar  Dt. Ganjam PIN-760 007. odisha   Orissa -  ,http://www.buodisha.edu.in
Bhagat Phool Singh Mahila Vishwavidyalaya,Khanpur Kalan Sonipat  Haryana    Haryana -  ,http://www.bpswomenuniversity.ac.in
Bharathiar University,Coimbatore  PIN - 641 046. Tamil Nadu   Tamil Nadu -  ,http://www.bdu.ac.in
Bharathidasan University,Palkalaiperur Tiruchirappalli     Tamil Nadu - 620 024 ,http://www.bdu.ac.in
Krishnakumarsinhji Bhavnagar University,Gauri Shankar Lake Road  Bhavnagar     Gujarat - 364 001 ,http://www.bhavuni.edu
Bhupender Narayan Mandal University,Laloo Nagar  Madhepura  PIN - 852 113. (BIHAR)    Bihar -  ,http://bnmu.bih.nic.in
Bidhan Chandra Krishi Vishwavidyalaya,"P.O.Krishi Viswavidyalaya,Mohanpur Distt. Nadia 741 252 (WB)    West Bengal -  ",http://www.bckv.edu.in
Biju Patnaik University of Technology,"Jail Road,Rourkela Orissa    Orissa -  ",http://www.bput.ac.in
Birsa Agricultural University,Kanke Ranchi - 834 006.(JHARKHAND)    Jharkhand -  ,http://www.baujharkhand.org
Bundelkhand University,Kanpur Road  Jhansi  PIN - 284 128  (UP)    Uttar Pradesh -  ,http://www.bujhansi.org
Burdwan University,Rajbati Burdwan    West Bengal -  ,http://www.buruniv.ac.in
Calcutta University,Kolkata PIN - 700 073.    West Bengal -  ,http://www.caluniv.ac.in
Calicut University , Calicut University P.O. Malappuram District Calicut     Kerala - 673 635  ,http://www.universityofcalicut.info
CEPT University ,"University Road Navrangpura,Ahmedabad-380009    Gujarat -  ",http://www.cept.ac.in
Chanakya National Law University,Nyaya Nagar  Mithapur  Patna-800001  Bihar    Bihar -  ,http://www.cnlu.ac.in
Chandr Shekhar Azad University of Agriculture & Technology,Kanpur - 208 002.     Uttar Pradesh -  ,http://www.csauk.ac.in
Chatrapati Sahuji Maharaj Kanpur University,Kalyanpur  KANPUR     Uttar Pradesh - 208 024 ,http://www.kanpuruniversity.org
Chaudhary Devi Lal University,Sirsa Haryana -125 055    Haryana -  ,http://www.cdlu.in
Chhattisgarh Swami Vivekanad Technical Universty,North Park Avenue   Sector-8 Bhilai  Durg-490009 Chatisgarh   Chhattisgarh-  ,http://www.csvtu.ac.in
Choudary Charan Singh Haryana Agricultural Univeersity,Hissar - 125 004. HARYANA     Haryana -  ,http://www.hau.ac.in
