Name,City,State,Website
Rabindra Bharati University,Kolkata ,West Bengal,http://www.rbu.ac.in
Swami Keshwanand Rajasthan Agriculture University,Bikaner,Rajasthan,http://www.raubikaner.org
Rajasthan Ayurveda University,Jodhpur,Rajasthan,
Rajasthan Technical University,Hata,Uttar Pradesh,http://www.rtu.ac.in
Rajasthan University,Jaipur,Rajasthan,http://www.uniraj.ernet.in
Rajasthan University of Health Sciences,Jaipur,Rajasthan,http://www.ruhsraj.org
Rajiv Gandhi Prodoyogiki Vishwavidyalaya,Bhopal ,Madhya Pradesh,http://www.rgtu.net
Ranchi University,Ranchi,Jharkhand,http://www.ranchiuniversity.ac.in
Rani Durgavati Vishwavidyalaya,Jabalpur,Madhya Pradesh,http://www.rdunijbpin.org
Ravenshaw University,Cuttack,Odisha,http://ravenshawuniversity.ac.in
Rayalaseema University,Kurnool,Andhra Pradesh,http://www.rayalaseemauniversity.ac.in
Sampurnanand Sanskrit Vishwavidyalaya,Varanasi,Uttar Pradesh,http://www.ssvv.up.nic.in
Sardar Vallabh Bhai Patel University of Agriculture & Technology,Meerut,Uttar Pradesh,http://www.svbpmeerut.ac.in
Satavahana University,Karimnagar,Telangana,http://www.satavahana.ac.in
Saurashtra University,Rajkot,Gujarat,http://www.saurashtrauniversity.edu
Sher-e-Kashmir University of Agricultural Science & Technology,Jammu,Jammu and Kashmir,http://www.skuastkashmir.ac.in
Shivaji University,Hapur,Uttar Pradesh,http://www.unishivaji.ac.in
Shri Jagannath Sanskrit Vishwavidyalaya,Puri,Odisha,http://www.sjsv.nic.in
Shri Mata Vaishno Devi University,Jammu,Jammu and Kashmir,http://www.smvdu.net.in
Smt. Nathibai Damodar Thackersey Women's University,Mumbai,Maharashtra,http://www.sndt.ac.in
Solapur University ,Pune,Maharashtra,http://su.digitaluniversity.ac/
Veer Narmad South Gujarat University,Surat,Gujarat,http://www.vnsgu.ac.in
Sri Padmavati Mahila Vishwavidyalayam,Tirupati,Andhra Pradesh,http://www.spmvv.ac.in
Sri Venkateswara University,Tirupati,Andhra Pradesh,http://www.svuniversity.ac.in
Sri Venkateswara Vedic University,Tirupati,Andhra Pradesh,http://www.svvedicuniversity.org
Sri Venkateswara Veterinary University,Tirupati,Andhra Pradesh,http://www.svvu.edu.in
Swami Ramanand Teerth Marathwada University,Nanded,Maharashtra,http://www.srtmun.org
T.M. Bhagalpur University,Bhagalpur,Bihar,http://www.tmbu.org
Tamil Nadu Open University,Chennai,Tamil Nadu ,http://www.tnou.ac.in
Tamil Nadu Teacher Education University,Chennai,Tamil Nadu ,http://www.tnteu.in/
Tamil University,Thanjavur,Tamil Nadu ,http://www.tamiluniversity.ac.in
Tamilnadu Agricultural University,Coimbatore,Tamil Nadu ,http://www.tnau.ac.in
Tamilnadu Dr. Ambedkar Law University,Chennai,Tamil Nadu ,http://www.tndalu.org
Tamilnadu Dr. M.G.R.Medical University,Chennai,Tamil Nadu ,http://www.tnmmu.ac.in
Tamilnadu Physical Educaton and Sports University,Chennai,Tamil Nadu ,http://www.tnpesu.org
Tamilnadu Veterinary & Animal Sciences University,Chennai,Tamil Nadu ,http://www.tanuvas.ac.in
Telangana University,Nizamabad,Telangana,http://www.telanganauniversity.ac.in
The Rajiv Gandhi National University of Law,Patiala,Punjab,http://www.rgnul.ac.in
Thiruvalluvar University,Vellore,Tamil Nadu ,http://www.thiruvalluvaruniversity.ac.in
U.P.King George's University of Dental Sciences,Lucknow,Uttar Pradesh,http://www.kgmcindia.edu/
U.P. Rajarshi Tandon Open University,Allahabad,Uttar Pradesh,http://www.uprtou.ac.in
University of Kota,Kota,Rajasthan,http://www.uok.ac.in/
Utkal University,Bhubaneshwar,Odisha,http://www.utkaluniversity.ac.in
Dr. A.P.J. Abdul Kalam Technical University,Lucknow,Uttar Pradesh,http://www.uptu.ac.in
Uttarakhand Sanskrit University,Delhi,Delhi,http://www.usvv.ac.in
Vardhman Mahaveer Open University,Hata,Uttar Pradesh,http://www.vmou.ac.in
Vesveswaraiah Technological University,Belgaum,Karnataka,http://www.vtu.ac.in
Vikrama Simhapuri University,Nellore,Andhra Pradesh,http://www.simhapuriuniv.ac.in
Vikram University,Ujjain,Madhya Pradesh,http://www.vikramuniv.ac.in
Yashwant Rao Chavan Maharashtra Open University,Nasik,Maharashtra,http://www.ycmou.com
Maharishi University of Management and Technology,Bilaspur,Chhattisgarh,http://www.mumt.com
Ahmedabad University ,Ahmedabad,Gujarat,http://www.ahduni.edu.in
Arni University,Indore,Madhya Pradesh,http://www.arni.in
The Institute of Chartered Financial Analysts of India University,Ranchi,Jharkhand,http://www.iujharkhand.edu.in/
Martin Luther Christian University,Shillong ,Meghalaya,http://www.mlcuniv.in
Techno Global University,Shillong ,Meghalaya,http://technoglobaluniversity.com
The Institute of Chartered Financial Analysts of India University,Salem,Tamil Nadu ,www.iumizoram.edu.in 
ICFAI University,Kohima,Nagaland,www.iunagaland.edu.in
Lovely Professional University,Delhi,Delhi,http://www.lpu.in
Amity University ,Ajmer,Rajasthan,http://amity.edu/jaipur
Bhagwant University,Ajmer,Rajasthan,http://www.bhagwantuniversity.com
Jagannath University,Jaipur,Rajasthan,http://www.jagannathuniversity.org
Jaipur National University,Agra,Uttar Pradesh,http://www.jnujaipur.ac.in
Jodhpur National University,Jodhpur,Rajasthan,http://www.jodhpurnationaluniversity.com
Jayoti Vidyapeet Women's University,Ajmer,Rajasthan,http://www.jvwomensuniv.com
Mahatma Jyoti Rao Phoole University,Alwar,Rajasthan,http://www.mjrpuniversity.com
NIMS University,Delhi,Delhi,http://www.nimsuniversity.org
Suresh Gyan Vihar University,Jaipur,Rajasthan,http://www.gyanvihar.org
The Institute of Chartered Financial Analysts of India University,Gangtok,Sikkim,www.iusikkim.edu.in
